trial,struct,time,l,un,order,baserate,mag,session,subject,block
77,1,2,83,-55,2,1,100,S,1,4
78,1,1,48,61,2,3,100,S,1,4
78,1,2,71,-72,1,3,100,S,1,4
79,1,1,48,41,2,1,40,S,1,4
79,1,2,47,-47,1,1,40,S,1,4
80,1,1,35,33,2,1,20,S,1,4
80,1,2,24,0,1,1,20,S,1,4
81,2,1,78,81,2,3,100,S,1,4
81,2,2,-100,97,2,3,100,S,1,4
82,1,1,0,0,2,3,20,S,1,4
82,1,2,0,0,2,3,20,S,1,4
83,2,1,50,47,2,3,40,S,1,4
83,2,2,-100,79,2,3,40,S,1,4
84,0,1,-100,-100,1,3,0,S,1,4
84,0,2,-100,-100,2,3,0,S,1,4
85,2,1,60,58,2,3,60,S,1,4
85,2,2,-100,69,2,3,60,S,1,4
86,2,1,25,32,1,1,40,S,1,4
